Loading Matrix-market coordinate-formatted graph ...
Reading from ../../../maps/gh009.mtx:
  Parsing MARKET COO format (16777216 nodes, 265114400 directed edges)... Done parsing (46s).
  Converting 16777216 vertices, 265114400 directed edges (unordered tuples) to CSR format...
Done converting (6s).

Degree Histogram (16777216 vertices, 265114400 edges):
    Degree   0: 1 (0.00%)
    Degree 2^0: 54 (0.00%)
    Degree 2^1: 2064 (0.01%)
    Degree 2^2: 190846 (1.14%)
    Degree 2^3: 7967474 (47.49%)
    Degree 2^4: 8612951 (51.34%)
    Degree 2^5: 3826 (0.02%)

Using 1 GPU: [ 0 ].
Using traversal mode LB
__________________________
0	 1392	 0	 queue3 	 oversize :	 30287191 ->	 30321383
0	 1393	 0	 queue3 	 oversize :	 30321383 ->	 30353256
0	 1394	 0	 queue3 	 oversize :	 30353256 ->	 30356108
0	 1395	 0	 queue3 	 oversize :	 30356108 ->	 30418914
0	 1396	 0	 queue3 	 oversize :	 30418914 ->	 30472418
0	 1397	 0	 queue3 	 oversize :	 30472418 ->	 30516571
0	 1398	 0	 queue3 	 oversize :	 30516571 ->	 30525735
0	 1399	 0	 queue3 	 oversize :	 30525735 ->	 30549107
0	 1400	 0	 queue3 	 oversize :	 30549107 ->	 30603168
0	 1401	 0	 queue3 	 oversize :	 30603168 ->	 30615672
0	 1402	 0	 queue3 	 oversize :	 30615672 ->	 30674045
0	 1403	 0	 queue3 	 oversize :	 30674045 ->	 30702196
0	 1404	 0	 queue3 	 oversize :	 30702196 ->	 30792252
0	 1406	 0	 queue3 	 oversize :	 30792252 ->	 30851944
0	 1408	 0	 queue3 	 oversize :	 30851944 ->	 30897779
0	 1409	 0	 queue3 	 oversize :	 30897779 ->	 30922762
0	 1410	 0	 queue3 	 oversize :	 30922762 ->	 30964870
0	 1411	 0	 queue3 	 oversize :	 30964870 ->	 31035871
0	 1412	 0	 queue3 	 oversize :	 31035871 ->	 31060322
0	 1413	 0	 queue3 	 oversize :	 31060322 ->	 31094108
0	 1414	 0	 queue3 	 oversize :	 31094108 ->	 31133037
0	 1415	 0	 queue3 	 oversize :	 31133037 ->	 31179723
0	 1416	 0	 queue3 	 oversize :	 31179723 ->	 31192410
0	 1417	 0	 queue3 	 oversize :	 31192410 ->	 31227094
